full_name,repo_name,open_issues_count,closed_issues_count,closed_issues_percentage,merged_pull_requests_count,releases_count,hours_since_last_update,primary_language,repo_age_years
marktext/marktext,marktext,1315,1637,55.45,936,36,1.0,JavaScript,7.76
prettier/prettier,prettier,1473,5735,79.56,8871,127,0.0,JavaScript,8.71
laurent22/joplin,joplin,578,6687,92.04,4362,384,2.0,TypeScript,8.58
starship/starship,starship,920,1771,65.81,2898,135,0.0,Rust,6.38
romkatv/powerlevel10k,powerlevel10k,126,2465,95.14,167,33,1.0,Shell,6.48
jekyll/jekyll,jekyll,219,4781,95.62,3166,112,1.0,Ruby,16.82
xai-org/grok-1,grok-1,121,0,0.0,5,0,1.0,Python,1.42
TryGhost/Ghost,Ghost,164,7061,97.73,14239,902,2.0,JavaScript,12.29
DefinitelyTyped/DefinitelyTyped,DefinitelyTyped,713,7522,91.34,51863,1,1.0,TypeScript,12.87
go-gitea/gitea,gitea,2767,12291,81.62,17738,216,0.0,Go,8.79
WerWolv/ImHex,ImHex,253,1179,82.33,669,80,0.0,C++,4.77
RVC-Boss/GPT-SoVITS,GPT-SoVITS,783,1176,60.03,338,4,3.0,Python,1.59
etcd-io/etcd,etcd,285,6816,95.99,9768,259,2.0,Go,12.11
firstcontributions/first-contributions,first-contributions,120,909,88.34,84962,0,1.0,,8.91
pocketbase/pocketbase,pocketbase,18,1817,99.02,53,220,2.0,Go,3.12
chinese-poetry/chinese-poetry,chinese-poetry,126,92,42.2,135,1,5.0,JavaScript,8.96
jgthms/bulma,bulma,505,2395,82.59,637,22,2.0,CSS,9.56
OpenBB-finance/OpenBB,OpenBB,68,2194,96.99,4113,46,0.0,Python,4.66
vsouza/awesome-ios,awesome-ios,13,486,97.39,2211,0,5.0,Swift,11.1
ethereum/go-ethereum,go-ethereum,344,8275,96.01,8229,219,1.0,Go,11.64
cline/cline,cline,563,1721,75.35,1607,143,0.0,TypeScript,1.11
poteto/hiring-without-whiteboards,hiring-without-whiteboards,24,0,0.0,1285,0,0.0,JavaScript,8.42
FoundationAgents/OpenManus,OpenManus,539,311,36.59,106,3,1.0,Python,0.45
mastodon/mastodon,mastodon,4259,8219,65.87,17532,289,2.0,Ruby,9.48
agalwood/Motrix,Motrix,761,593,43.8,192,21,0.0,JavaScript,6.66
cypress-io/cypress,cypress,1321,13767,91.24,7325,372,2.0,TypeScript,10.46
microsoft/autogen,autogen,474,2455,83.82,2485,95,0.0,Python,2.0
justjavac/awesome-wechat-weapp,awesome-wechat-weapp,2,0,0.0,274,0,3.0,,8.9
mendableai/firecrawl,firecrawl,214,522,70.92,805,22,0.0,TypeScript,1.34
NARKOZ/hacker-scripts,hacker-scripts,67,53,44.17,62,0,2.0,JavaScript,9.74
Asabeneh/30-Days-Of-Python,30-Days-Of-Python,191,79,29.26,61,0,0.0,Python,5.74
AlistGo/alist,alist,583,3790,86.67,846,136,2.0,Go,4.65
ReactiveX/RxJava,RxJava,13,3159,99.59,3324,241,7.0,Java,12.61
PowerShell/PowerShell,PowerShell,1261,11905,90.42,7538,186,8.0,C#,9.59
iamkun/dayjs,dayjs,1142,849,42.64,691,119,4.0,JavaScript,7.35
moment/moment,moment,292,3911,93.05,712,0,1.0,JavaScript,14.46
dani-garcia/vaultwarden,vaultwarden,27,2349,98.86,992,73,0.0,Rust,7.49
Mintplex-Labs/anything-llm,anything-llm,294,2479,89.4,1072,20,0.0,JavaScript,2.2
Avik-Jain/100-Days-Of-ML-Code,100-Days-Of-ML-Code,65,0,0.0,6,0,1.0,,7.12
charlax/professional-programming,professional-programming,0,29,100.0,39,0,0.0,Python,9.78
algorithm-visualizer/algorithm-visualizer,algorithm-visualizer,71,76,51.7,180,0,5.0,JavaScript,9.26
JuliaLang/julia,julia,5028,21363,80.95,25757,181,3.0,Julia,14.32
minimaxir/big-list-of-naughty-strings,big-list-of-naughty-strings,109,32,22.7,85,0,8.0,Python,10.03
TapXWorld/ChinaTextbook,ChinaTextbook,70,53,43.09,1,0,2.0,Roff,5.62
huginn/huginn,huginn,695,1569,69.3,1041,1,1.0,Ruby,12.44
nlohmann/json,json,103,2296,95.71,893,45,2.0,C++,12.12
serverless/serverless,serverless,1243,5382,81.24,4713,453,2.0,JavaScript,10.32
gogs/gogs,gogs,979,4223,81.18,1743,84,4.0,Go,11.51
LadybirdBrowser/ladybird,ladybird,582,625,51.78,4188,0,0.0,C++,1.22
karan/Projects,Projects,97,35,26.52,18,0,2.0,,12.12
kamranahmedse/design-patterns-for-humans,design-patterns-for-humans,16,47,74.6,50,0,16.0,,8.5
x64dbg/x64dbg,x64dbg,605,2021,76.96,740,3,1.0,C++,10.35
square/okhttp,okhttp,64,4132,98.47,3758,0,4.0,Kotlin,13.07
typescript-cheatsheets/react,react,3,219,98.65,366,0,1.0,JavaScript,7.21
pandas-dev/pandas,pandas,3694,24069,86.69,26874,111,0.0,Python,14.98
TanStack/query,query,127,2100,94.3,2883,1101,6.0,TypeScript,5.94
v2ray/v2ray-core,v2ray-core,9,2583,99.65,202,247,1.0,Go,9.95
type-challenges/type-challenges,type-challenges,32424,3832,10.57,588,0,4.0,TypeScript,5.07
hashicorp/terraform,terraform,1872,19666,91.31,12759,377,5.0,Go,11.43
dkhamsing/open-source-ios-apps,open-source-ios-apps,2,310,99.36,1398,37,2.0,,10.55
ziishaned/learn-regex,learn-regex,65,35,35.0,130,0,1.0,,8.07
lllyasviel/Fooocus,Fooocus,270,1399,83.82,447,21,0.0,Python,2.02
slab/quill,quill,578,3265,84.96,379,95,4.0,TypeScript,13.05
lyswhut/lx-music-desktop,lx-music-desktop,962,1236,56.23,86,110,4.0,TypeScript,6.01
bigskysoftware/htmx,htmx,592,1005,62.93,956,26,2.0,JavaScript,5.34
jesseduffield/lazydocker,lazydocker,216,189,46.67,185,42,1.0,Go,6.25
pixijs/pixijs,pixijs,293,5735,95.14,3648,293,3.0,TypeScript,12.57
kelseyhightower/kubernetes-the-hard-way,kubernetes-the-hard-way,25,414,94.31,73,0,2.0,,9.11
android/architecture-samples,architecture-samples,210,348,62.37,231,0,5.0,Kotlin,9.53
jakevdp/PythonDataScienceHandbook,PythonDataScienceHandbook,226,78,25.66,28,0,4.0,Jupyter Notebook,9.02
brillout/awesome-react-components,awesome-react-components,31,44,58.67,322,0,2.0,,9.15
skylot/jadx,jadx,389,1526,79.69,577,31,0.0,Java,12.42
odoo/odoo,odoo,8540,15104,63.88,6177,0,0.0,Python,11.26
jestjs/jest,jest,285,7860,96.5,5691,208,0.0,TypeScript,11.69
Asabeneh/30-Days-Of-JavaScript,30-Days-Of-JavaScript,360,59,14.08,98,0,2.0,JavaScript,5.65
ColorlibHQ/AdminLTE,AdminLTE,164,2746,94.36,1543,77,19.0,CSS,11.64
typst/typst,typst,941,2565,73.16,1814,22,0.0,Rust,5.89
serhii-londar/open-source-mac-os-apps,open-source-mac-os-apps,119,161,57.5,520,0,1.0,,7.79
dbeaver/dbeaver,dbeaver,3097,16301,84.03,6073,230,0.0,Java,9.82
discourse/discourse,discourse,137,0,0.0,29921,0,6.0,Ruby,12.59
akullpp/awesome-java,awesome-java,2,136,98.55,710,0,3.0,,11.11
oobabooga/text-generation-webui,text-generation-webui,2580,1427,35.61,1177,79,2.0,Python,2.66
meteor/meteor,meteor,366,8945,96.07,2516,0,2.0,JavaScript,13.58
dypsilon/frontend-dev-bookmarks,frontend-dev-bookmarks,127,82,39.23,125,1,0.0,,12.15
Homebrew/brew,brew,37,4765,99.23,12951,440,0.0,Ruby,9.45
google/zx,zx,16,476,96.75,541,95,2.0,JavaScript,4.28
ultralytics/ultralytics,ultralytics,366,11384,96.89,3490,253,0.0,Python,2.93
coollabsio/coolify,coolify,609,2229,78.54,1641,619,0.0,PHP,4.56
unslothai/unsloth,unsloth,793,1723,68.48,470,16,0.0,Python,1.72
termux/termux-app,termux-app,462,2517,84.49,145,95,0.0,Java,9.82
vercel/hyper,hyper,1018,2872,73.83,3282,88,1.0,TypeScript,9.13
isocpp/CppCoreGuidelines,CppCoreGuidelines,256,964,79.02,800,4,2.0,CSS,10.0
parcel-bundler/parcel,parcel,585,5009,89.54,2588,48,0.0,JavaScript,8.03
2dust/v2rayNG,v2rayNG,9,3405,99.74,497,256,0.0,Kotlin,6.26
DovAmir/awesome-design-patterns,awesome-design-patterns,20,5,20.0,29,0,2.0,,7.2
astaxie/build-web-application-with-golang,build-web-application-with-golang,133,183,57.91,741,0,5.0,Go,13.04
run-llama/llama_index,llama_index,289,6376,95.66,6996,404,0.0,Python,2.79
acmesh-official/acme.sh,acme.sh,1314,2238,63.01,1412,44,3.0,Shell,9.64
babel/babel,babel,756,8401,91.74,6277,442,1.0,TypeScript,10.89
aymericdamien/TensorFlow-Examples,TensorFlow-Examples,225,70,23.73,88,0,4.0,Jupyter Notebook,9.77
square/retrofit,retrofit,160,2621,94.25,1182,4,7.0,HTML,14.94
karpathy/nanoGPT,nanoGPT,305,109,26.33,45,0,1.0,Python,2.64
usememos/memos,memos,35,2432,98.58,1794,80,0.0,Go,3.69
react-hook-form/react-hook-form,react-hook-form,84,4761,98.27,2070,585,4.0,TypeScript,6.45
FuelLabs/fuels-rs,fuels-rs,70,609,89.69,896,117,56.0,Rust,3.79
jeecgboot/JeecgBoot,JeecgBoot,26,7528,99.66,122,61,4.0,Java,6.72
microsoft/monaco-editor,monaco-editor,737,3153,81.05,466,91,2.0,JavaScript,9.19
FuelLabs/fuels-ts,fuels-ts,74,1398,94.97,1969,154,56.0,TypeScript,3.95
prisma/prisma,prisma,2334,9039,79.48,6328,223,1.0,TypeScript,6.16
grpc/grpc,grpc,1125,11117,90.81,19978,355,6.0,C++,10.69
LeCoupa/awesome-cheatsheets,awesome-cheatsheets,124,59,32.24,167,0,0.0,JavaScript,7.77
yangshun/front-end-interview-handbook,front-end-interview-handbook,12,91,88.35,344,0,2.0,MDX,7.59
Leaflet/Leaflet,Leaflet,528,4882,90.24,3108,33,1.0,JavaScript,14.9
streamich/react-use,react-use,628,244,27.98,1532,256,6.0,TypeScript,6.81
metabase/metabase,metabase,3844,19420,83.48,33869,676,3.0,Clojure,10.54
RocketChat/Rocket.Chat,Rocket.Chat,3349,13771,80.44,14433,1102,1.0,TypeScript,10.25
pyenv/pyenv,pyenv,58,1805,96.89,969,132,2.0,Roff,12.96
GitSquared/edex-ui,edex-ui,6,553,98.93,398,29,1.0,JavaScript,8.55
sudheerj/reactjs-interview-questions,reactjs-interview-questions,3,107,97.27,161,0,0.0,JavaScript,7.21
FlowiseAI/Flowise,Flowise,687,1626,70.3,1324,73,0.0,TypeScript,2.38
jellyfin/jellyfin,jellyfin,531,6871,92.83,4815,91,0.0,C#,6.69
Unitech/pm2,pm2,1068,4078,79.25,547,128,1.0,JavaScript,12.24
expo/expo,expo,790,16509,95.43,17835,0,1.0,TypeScript,9.0
coreybutler/nvm-windows,nvm-windows,91,847,90.3,107,23,4.0,Go,10.91
k88hudson/git-flight-rules,git-flight-rules,18,55,75.34,221,0,1.0,,11.07
ggml-org/whisper.cpp,whisper.cpp,998,830,45.4,861,27,0.0,C++,2.89
ClickHouse/ClickHouse,ClickHouse,5084,20509,80.14,50176,672,1.0,C++,9.21
alex/what-happens-when,what-happens-when,2080,53,2.48,101,0,2.0,,11.78
coqui-ai/TTS,TTS,5,1185,99.58,465,98,0.0,Python,5.24
opendatalab/MinerU,MinerU,130,1540,92.22,1020,121,2.0,Python,1.46
Alamofire/Alamofire,Alamofire,50,2757,98.22,650,102,10.0,Swift,11.05
GokuMohandas/Made-With-ML,Made-With-ML,20,58,74.36,147,0,1.0,Jupyter Notebook,6.78
faif/python-patterns,python-patterns,15,83,84.69,267,0,0.0,Python,13.2
Light-City/CPlusPlusThings,CPlusPlusThings,16,218,93.16,72,0,5.0,C++,6.09
getsentry/sentry,sentry,2493,13582,84.49,72677,154,6.0,Python,14.96
astral-sh/ruff,ruff,1667,5613,77.1,11117,375,0.0,Rust,3.02
apache/spark,spark,219,0,0.0,8,0,3.0,Scala,11.47
apache/airflow,airflow,1549,11108,87.76,29187,102,0.0,Python,10.35
iina/iina,iina,1812,2427,57.25,851,45,1.0,Swift,8.66
Stability-AI/stablediffusion,stablediffusion,299,76,20.27,17,0,2.0,Python,2.73
yarnpkg/yarn,yarn,2074,4731,69.52,1644,152,2.0,JavaScript,9.58
Kong/kong,kong,149,4485,96.78,6474,145,0.0,Lua,10.75
NaiboWang/EasySpider,EasySpider,227,485,68.12,40,10,3.0,JavaScript,5.08
spf13/cobra,cobra,321,986,75.44,613,24,0.0,Go,11.95
freqtrade/freqtrade,freqtrade,41,5300,99.23,5873,100,2.0,Python,8.25
mingrammer/diagrams,diagrams,385,222,36.57,327,44,13.0,Python,5.54
tldraw/tldraw,tldraw,277,1514,84.53,3542,79,4.0,TypeScript,4.27
nolimits4web/swiper,swiper,233,5537,95.96,601,87,9.0,JavaScript,13.43
apachecn/ailearning,ailearning,3,112,97.39,478,2,3.0,Python,8.47
apache/dubbo,dubbo,904,6471,87.74,5778,111,2.0,Java,13.16
bailicangdu/vue2-elm,vue2-elm,119,512,81.14,21,0,6.0,Vue,8.65
zai-org/ChatGLM-6B,ChatGLM-6B,598,751,55.67,48,0,1.0,Python,2.43
hpcaitech/ColossalAI,ColossalAI,476,1298,73.17,3698,50,0.0,Python,3.8
bevyengine/bevy,bevy,2908,4812,62.33,6160,43,1.0,Rust,5.58
tw93/Pake,Pake,48,352,88.0,100,31,7.0,Rust,2.84
dcloudio/uni-app,uni-app,731,4228,85.26,451,0,18.0,JavaScript,7.1
nwjs/nw.js,nw.js,928,6476,87.47,574,0,0.0,JavaScript,13.62
KRTirtho/spotube,spotube,813,1082,57.1,244,40,1.0,Dart,4.5
AykutSarac/jsoncrack.com,jsoncrack.com,40,234,85.4,85,22,1.0,TypeScript,3.55
streamlit/streamlit,streamlit,1241,4265,77.46,5589,105,0.0,Python,5.98
styled-components/styled-components,styled-components,326,2651,89.05,965,176,8.0,TypeScript,9.0
docker/awesome-compose,awesome-compose,273,40,12.78,149,0,2.0,HTML,5.51
psf/black,black,361,2393,86.89,1576,46,0.0,Python,7.43
vuetifyjs/vuetify,vuetify,673,14392,95.53,4387,605,0.0,TypeScript,8.93
hexojs/hexo,hexo,94,3912,97.65,943,114,6.0,TypeScript,12.9
ziglang/zig,zig,3655,9676,72.58,9095,20,1.0,Zig,10.03
zhongyang219/TrafficMonitor,TrafficMonitor,1179,712,37.65,63,26,4.0,C++,8.05
fastlane/fastlane,fastlane,910,12499,93.21,6225,552,0.0,Ruby,10.71
cli/cli,cli,870,4290,83.14,2599,173,1.0,Go,5.87
bannedbook/fanqiang,fanqiang,329,466,58.62,3,3,13.0,Kotlin,10.59
mitmproxy/mitmproxy,mitmproxy,370,3226,89.71,2621,76,4.0,Python,15.5
SimplifyJobs/Summer2026-Internships,Summer2026-Internships,5,3461,99.86,1672,0,0.0,,5.23
dylanaraps/pure-bash-bible,pure-bash-bible,62,33,34.74,28,0,2.0,Shell,7.18
tabler/tabler,tabler,94,1004,91.44,720,51,6.0,HTML,7.54
chubin/cheat.sh,cheat.sh,136,133,49.44,127,0,1.0,Python,8.28
LC044/WeChatMsg,WeChatMsg,25,0,0.0,62,0,2.0,,2.6
1c7/chinese-independent-developer,chinese-independent-developer,1,198,99.5,308,0,10.0,,7.9
deepspeedai/DeepSpeed,DeepSpeed,1195,2080,63.51,2740,97,7.0,Python,5.57
GitHubDaily/GitHubDaily,GitHubDaily,405,176,30.29,3,0,0.0,,6.63
microsoft/AI-For-Beginners,AI-For-Beginners,63,106,62.72,168,0,1.0,Jupyter Notebook,4.46
penpot/penpot,penpot,504,1427,73.9,4484,59,1.0,Clojure,9.63
colinhacks/zod,zod,261,2496,90.53,833,179,1.0,TypeScript,5.45
bradtraversy/50projects50days,50projects50days,23,0,0.0,44,0,3.0,CSS,4.75
chakra-ui/chakra-ui,chakra-ui,10,4145,99.76,2806,3539,1.0,TypeScript,6.0
gradio-app/gradio,gradio,444,5487,92.51,4730,3972,1.0,Python,6.66
helix-editor/helix,helix,1219,4533,78.81,4223,30,0.0,Rust,5.21
google-research/bert,bert,885,355,28.63,32,0,4.0,Python,6.81
lukasz-madon/awesome-remote-job,awesome-remote-job,6,75,92.59,587,0,0.0,,10.62
slidevjs/slidev,slidev,157,1071,87.21,706,394,4.0,TypeScript,4.31
wg/wrk,wrk,201,262,56.59,0,0,8.0,C,13.41
php/php-src,php-src,1504,3487,69.87,4244,23,1.0,C,14.17
virattt/ai-hedge-fund,ai-hedge-fund,38,198,83.9,33,0,0.0,Python,0.71
QSCTech/zju-icicles,zju-icicles,10,69,87.34,224,0,3.0,HTML,9.14
evanw/esbuild,esbuild,559,3244,85.3,246,301,2.0,Go,9.17
harry0703/MoneyPrinterTurbo,MoneyPrinterTurbo,190,392,67.35,136,9,2.0,Python,1.43
floodsung/Deep-Learning-Papers-Reading-Roadmap,Deep-Learning-Papers-Reading-Roadmap,91,5,5.21,27,0,0.0,Python,8.84
gedoor/legado,legado,69,2922,97.69,1123,115,1.0,Kotlin,6.24
byoungd/English-level-up-tips,English-level-up-tips,30,72,70.59,26,0,4.0,HTML,8.22
sharkdp/fd,fd,148,786,84.15,636,40,0.0,Rust,8.27
upscayl/upscayl,upscayl,61,890,93.59,100,29,0.0,TypeScript,3.05
videojs/video.js,video.js,608,4807,88.77,1800,332,1.0,JavaScript,15.26
lm-sys/FastChat,FastChat,954,1066,52.77,849,14,1.0,Python,2.41
Dogfalo/materialize,materialize,792,4599,85.31,445,41,1.0,JavaScript,10.93
ChrisTitusTech/winutil,winutil,195,1706,89.74,846,22,0.0,PowerShell,3.3
pingcap/tidb,tidb,5196,17220,76.82,33017,210,7.0,Go,9.95
jgm/pandoc,pandoc,1052,7010,86.95,1676,147,5.0,Haskell,15.41
vim/vim,vim,1581,7391,82.38,440,0,1.0,Vim Script,10.0
go-gorm/gorm,gorm,472,5547,92.16,740,5,0.0,Go,11.81
curl/curl,curl,42,5133,99.19,198,91,0.0,C,15.41
tmux/tmux,tmux,62,3657,98.33,1,37,3.0,C,10.2
zhayujie/chatgpt-on-wechat,chatgpt-on-wechat,344,1699,83.16,261,63,6.0,Python,3.03
ray-project/ray,ray,2988,18201,85.9,27069,108,2.0,Python,8.81
remoteintech/remote-jobs,remote-jobs,39,168,81.16,1276,0,1.0,JavaScript,9.85
aria2/aria2,aria2,1112,824,42.56,252,24,2.0,C++,14.72
google/styleguide,styleguide,164,239,59.31,194,0,4.0,HTML,10.25
suno-ai/bark,bark,254,239,48.48,19,0,3.0,Jupyter Notebook,2.36
mem0ai/mem0,mem0,520,719,58.03,1656,265,0.0,Python,2.16
DIYgod/RSSHub,RSSHub,381,5737,93.77,11013,0,0.0,TypeScript,7.38
saadeghi/daisyui,daisyui,56,1926,97.17,425,100,1.0,Svelte,4.71
QuivrHQ/quivr,quivr,21,1533,98.65,1819,354,0.0,Python,2.26
phaserjs/phaser,phaser,106,4467,97.68,1699,171,12.0,JavaScript,12.35
trpc/trpc,trpc,193,1138,85.5,3701,217,2.0,TypeScript,5.08
files-community/Files,Files,522,10092,95.08,5326,123,1.0,C#,6.62
photoprism/photoprism,photoprism,431,1956,81.94,811,78,1.0,Go,7.55
makeplane/plane,plane,496,867,63.61,5570,48,0.0,TypeScript,2.74
PhilJay/MPAndroidChart,MPAndroidChart,2190,2899,56.97,191,44,13.0,Java,11.31
freefq/free,free,534,215,28.7,0,0,6.0,,5.19
impress/impress.js,impress.js,63,431,87.25,119,15,1.0,JavaScript,13.63
google/leveldb,leveldb,365,537,59.53,63,21,1.0,C++,10.97
logseq/logseq,logseq,1291,6685,83.81,3063,150,1.0,Clojure,5.23
koalaman/shellcheck,shellcheck,1140,1719,60.13,305,30,5.0,Haskell,12.75
preactjs/preact,preact,135,1838,93.16,1914,229,6.0,JavaScript,9.93
appsmithorg/appsmith,appsmith,4380,19223,81.44,13941,290,1.0,TypeScript,5.13
ccxt/ccxt,ccxt,1359,10088,88.13,13317,172,0.0,Python,8.26
novuhq/novu,novu,235,1397,85.6,5995,50,0.0,TypeScript,3.98
calcom/cal.com,cal.com,1421,6911,82.95,10473,505,1.0,TypeScript,4.41
gto76/python-cheatsheet,python-cheatsheet,22,60,73.17,14,0,7.0,Python,7.56
goabstract/Awesome-Design-Tools,Awesome-Design-Tools,99,25,20.16,279,0,2.0,JavaScript,6.51
2noise/ChatTTS,ChatTTS,70,587,89.35,215,6,1.0,Python,1.22
karanpratapsingh/system-design,system-design,2,21,91.3,11,0,0.0,,3.01
FreeCodeCampChina/freecodecamp.cn,freecodecamp.cn,156,445,74.04,55,0,20.0,CSS,8.88
LAION-AI/Open-Assistant,Open-Assistant,293,1417,82.87,1614,127,0.0,Python,2.68
ant-design/ant-design-pro,ant-design-pro,155,9600,98.41,1002,26,3.0,TypeScript,7.98
gofiber/fiber,fiber,100,1480,93.67,1792,127,0.0,Go,5.59
cloudcommunity/Free-Certifications,Free-Certifications,52,69,57.02,114,0,0.0,,5.05
eugenp/tutorials,tutorials,44,772,94.61,13189,0,2.0,Java,12.3
lapce/lapce,lapce,841,1177,58.33,1165,32,1.0,Rust,7.53
istio/istio,istio,523,20666,97.53,28379,393,5.0,Go,8.74
menloresearch/jan,jan,175,2678,93.87,2629,87,0.0,TypeScript,2.0
naptha/tesseract.js,tesseract.js,40,695,94.56,194,56,3.0,JavaScript,10.15
TencentARC/GFPGAN,GFPGAN,393,133,25.29,14,8,8.0,Python,4.41
dotnet/aspnetcore,aspnetcore,3697,34007,90.19,17725,258,1.0,C#,11.44
0voice/interview_internal_reference,interview_internal_reference,33,19,36.54,35,0,5.0,Python,6.19
payloadcms/payload,payload,721,3329,82.2,5784,521,1.0,TypeScript,4.61
dockur/windows,windows,100,736,88.04,411,104,0.0,Shell,1.59
Kong/insomnia,insomnia,747,3193,81.04,3330,523,2.0,TypeScript,9.32
inkonchain/docs,docs,34,13,27.66,393,0,1.0,MDX,1.28
inkonchain/node,node,13,13,50.0,35,6,1.0,Shell,1.26
denysdovhan/wtfjs,wtfjs,46,95,67.38,125,25,5.0,JavaScript,8.09
fastapi/full-stack-fastapi-template,full-stack-fastapi-template,213,259,54.87,410,10,0.0,TypeScript,6.48
freeCodeCamp/devdocs,devdocs,224,1039,82.26,925,0,6.0,Ruby,11.81
NervJS/taro,taro,1615,11015,87.21,3391,200,4.0,TypeScript,7.36
inkonchain/ink-kit,ink-kit,2,3,60.0,90,0,1.0,TypeScript,0.78
Aider-AI/aider,aider,1169,2689,69.7,263,93,0.0,Python,2.28
exacity/deeplearningbook-chinese,deeplearningbook-chinese,67,139,67.48,16,7,4.0,TeX,8.69
vlang/v,v,1101,8586,88.63,12175,273,1.0,V,6.52
facebookresearch/faiss,faiss,289,2440,89.41,137,20,0.0,C++,8.52
milvus-io/milvus,milvus,648,13447,95.4,22735,128,0.0,Go,5.92
alibaba/arthas,arthas,461,1722,78.88,539,59,12.0,Java,6.97
siyuan-note/siyuan,siyuan,453,14440,96.96,481,812,2.0,TypeScript,4.96
AobingJava/JavaFamily,JavaFamily,5,60,92.31,2,0,14.0,,5.76
huihut/interview,interview,1,65,98.48,35,0,4.0,C++,7.52
google/googletest,googletest,455,1979,81.31,783,11,7.0,C++,10.06
satwikkansal/wtfpython,wtfpython,68,157,69.78,113,2,1.0,Python,7.97
halo-dev/halo,halo,331,3987,92.33,2606,225,2.0,Java,7.41
babysor/MockingBird,MockingBird,481,412,46.14,80,1,0.0,Python,4.03
DataExpert-io/data-engineer-handbook,data-engineer-handbook,20,64,76.19,171,0,0.0,Jupyter Notebook,1.74
openai/gym,gym,127,1726,93.15,996,19,2.0,Python,9.31
httpie/cli,cli,211,722,77.38,404,47,1.0,Python,13.48
ToolJet/ToolJet,ToolJet,938,4326,82.18,6615,313,3.0,JavaScript,4.38
chatboxai/chatbox,chatbox,860,1450,62.77,70,47,1.0,TypeScript,2.45
usebruno/bruno,bruno,1472,1831,55.43,1251,140,0.0,JavaScript,2.89
google-research/google-research,google-research,1640,343,17.3,29,0,6.0,Jupyter Notebook,6.87
open-guides/og-aws,og-aws,159,87,35.37,493,0,0.0,Shell,9.1
zbezj/HEU_KMS_Activator,HEU_KMS_Activator,156,28,15.22,0,47,4.0,,6.15
rapid7/metasploit-framework,metasploit-framework,467,5840,92.6,11285,0,0.0,Ruby,13.97
docling-project/docling,docling,498,613,55.18,504,114,0.0,Python,1.11
hiroi-sora/Umi-OCR,Umi-OCR,271,512,65.39,56,31,4.0,Python,3.39
nushell/nushell,nushell,1555,5138,76.77,7853,111,1.0,Rust,6.27
opentofu/manifesto,manifesto,20,14,41.18,765,0,2.0,HTML,2.01
date-fns/date-fns,date-fns,843,1367,61.86,1068,122,12.0,TypeScript,10.86
shadowsocks/shadowsocks-android,shadowsocks-android,54,2457,97.85,247,185,3.0,Kotlin,12.67
lerna/lerna,lerna,402,2278,85.0,994,244,2.0,TypeScript,9.7
docker/compose,compose,91,8039,98.88,3540,263,5.0,Go,11.69
XingangPan/DragGAN,DragGAN,153,46,23.12,18,0,6.0,Python,2.25
chatchat-space/Langchain-Chatchat,Langchain-Chatchat,124,4075,97.05,615,31,1.0,TypeScript,2.38
NanmiCoder/MediaCrawler,MediaCrawler,101,390,79.43,100,0,1.0,Python,2.19
SheetJS/sheetjs,sheetjs,132,2267,94.5,106,0,4.0,,12.7
formulahendry/955.WLB,955.WLB,201,82,28.98,18,0,8.0,,6.39
crewAIInc/crewAI,crewAI,141,1428,91.01,910,97,0.0,Python,1.81
geekxh/hello-algorithm,hello-algorithm,11,33,75.0,26,0,12.0,Java,5.22
imputnet/cobalt,cobalt,186,774,80.62,243,0,0.0,Svelte,3.11
typeorm/typeorm,typeorm,2471,6055,71.02,2166,37,0.0,TypeScript,9.46
carbon-app/carbon,carbon,71,626,89.81,667,215,6.0,JavaScript,8.17
koajs/koa,koa,22,909,97.64,521,9,0.0,JavaScript,12.08
hankcs/HanLP,HanLP,12,1421,99.16,79,62,5.0,Python,10.86
alvarotrigo/fullPage.js,fullPage.js,149,3999,96.41,318,105,0.0,JavaScript,11.91
airbnb/lottie-android,lottie-android,37,1744,97.92,712,59,6.0,Java,8.86
PKUanonym/REKCARC-TSC-UHT,REKCARC-TSC-UHT,2,30,93.75,170,0,7.0,HTML,6.37
markedjs/marked,marked,13,1590,99.19,1552,155,5.0,TypeScript,14.07
kilimchoi/engineering-blogs,engineering-blogs,141,74,34.42,658,0,2.0,Ruby,10.18
openai/codex,codex,371,625,62.75,844,76,0.0,Rust,0.34
jondot/awesome-react-native,awesome-react-native,98,35,26.32,906,0,2.0,JavaScript,10.4
mindsdb/mindsdb,mindsdb,128,4245,97.07,5357,310,0.0,Python,7.04
nativefier/nativefier,nativefier,258,982,79.19,261,99,1.0,TypeScript,10.12
zen-browser/desktop,desktop,423,6498,93.89,476,115,0.0,C++,1.39
spacedriveapp/spacedrive,spacedrive,124,388,75.78,1881,26,0.0,TypeScript,3.89
junegunn/vim-plug,vim-plug,83,966,92.09,176,8,0.0,Vim Script,11.93
sahat/hackathon-starter,hackathon-starter,10,670,98.53,347,17,1.0,JavaScript,11.76
huggingface/pytorch-image-models,pytorch-image-models,76,946,92.56,479,69,6.0,Python,6.54
sqlmapproject/sqlmap,sqlmap,63,5292,98.82,169,10,0.0,Python,13.14
unknwon/the-way-to-go_ZH_CN,the-way-to-go_ZH_CN,46,0,0.0,591,0,13.0,Go,12.4
twentyhq/twenty,twenty,224,4990,95.7,7133,45,1.0,TypeScript,2.71
alebcay/awesome-shell,awesome-shell,115,23,16.67,300,0,2.0,,11.11
bumptech/glide,glide,598,3920,86.76,569,47,13.0,Java,12.11
pola-rs/polars,polars,2764,8701,75.89,11458,226,0.0,Rust,5.26
