full_name,repo_name,open_issues_count,closed_issues_count,closed_issues_percentage,merged_pull_requests_count,releases_count,hours_since_last_update,primary_language,repo_age_years
microsoft/terminal,terminal,1651,11855,87.78,4164,136,0.0,C++,8.02
deepseek-ai/DeepSeek-V3,DeepSeek-V3,62,555,89.95,21,1,0.0,Python,0.64
angular/angular,angular,1580,27992,94.66,3868,467,1.0,TypeScript,10.91
fatedier/frp,frp,66,3835,98.31,683,106,0.0,Go,9.66
papers-we-love/papers-we-love,papers-we-love,1,245,99.59,435,0,0.0,Shell,11.67
Hack-with-Github/Awesome-Hacking,Awesome-Hacking,27,0,0.0,34,0,0.0,,9.38
mui/material-ui,material-ui,1771,18549,91.28,20755,547,2.0,TypeScript,11.0
iptv-org/iptv,iptv,461,14290,96.87,6466,0,2.0,TypeScript,6.75
rustdesk/rustdesk,rustdesk,75,3556,97.93,3627,31,1.0,Rust,4.88
ant-design/ant-design,ant-design,1283,30376,95.95,15737,713,0.0,TypeScript,10.32
tauri-apps/tauri,tauri,1172,4638,79.83,5157,1444,0.0,Rust,6.1
microsoft/generative-ai-for-beginners,generative-ai-for-beginners,20,165,89.19,376,0,0.0,Jupyter Notebook,2.16
nvbn/thefuck,thefuck,389,472,54.82,478,17,0.0,Python,10.36
ryanmcdermott/clean-code-javascript,clean-code-javascript,109,163,59.93,149,0,0.0,JavaScript,8.72
shadcn-ui/ui,ui,1702,2371,58.21,636,52,0.0,TypeScript,2.62
iluwatar/java-design-patterns,java-design-patterns,157,830,84.09,1505,0,1.0,Java,11.02
Anduin2017/HowToCook,HowToCook,439,346,44.08,583,4,0.0,Dockerfile,5.46
pytorch/pytorch,pytorch,16804,37686,69.16,6190,61,0.0,Python,9.01
neovim/neovim,neovim,1977,11461,85.29,16031,45,0.0,Vim Script,11.54
puppeteer/puppeteer,puppeteer,280,6948,96.13,5408,557,2.0,TypeScript,8.27
microsoft/Web-Dev-For-Beginners,Web-Dev-For-Beginners,164,242,59.61,514,0,0.0,JavaScript,4.77
deepseek-ai/DeepSeek-R1,DeepSeek-R1,81,577,87.69,9,1,0.0,,0.57
PanJiaChen/vue-element-admin,vue-element-admin,1363,2357,63.36,311,49,4.0,Vue,8.33
tailwindlabs/tailwindcss,tailwindcss,89,4458,98.04,3068,290,0.0,TypeScript,7.86
fastapi/fastapi,fastapi,289,3417,92.2,2732,208,0.0,Python,6.69
mtdvio/every-programmer-should-know,every-programmer-should-know,55,23,29.49,98,0,0.0,,7.98
storybookjs/storybook,storybook,2181,11610,84.19,11465,1615,1.0,TypeScript,9.42
supabase/supabase,supabase,707,4405,86.17,12888,22,0.0,TypeScript,5.85
jaywcjlove/awesome-mac,awesome-mac,151,365,70.74,986,12,0.0,JavaScript,9.08
openai/whisper,whisper,92,0,0.0,119,13,0.0,Python,2.92
nvm-sh/nvm,nvm,362,1997,84.65,727,70,3.0,Shell,15.34
comfyanonymous/ComfyUI,ComfyUI,2682,3641,57.58,1174,72,0.0,Python,2.58
ChatGPTNextWeb/NextChat,NextChat,761,2884,79.12,888,77,0.0,TypeScript,2.44
2dust/v2rayN,v2rayN,9,6002,99.85,259,263,0.0,C#,6.05
bitcoin/bitcoin,bitcoin,755,8266,91.63,15430,56,0.0,C++,14.66
ggml-org/llama.cpp,llama.cpp,833,5343,86.51,5460,4023,0.0,C++,2.44
florinpop17/app-ideas,app-ideas,477,44,8.45,149,0,0.0,,6.48
django/django,django,359,0,0.0,9836,0,0.0,Python,13.3
sveltejs/svelte,svelte,858,7678,89.95,5972,509,1.0,JavaScript,8.74
gin-gonic/gin,gin,871,1679,65.84,1112,27,2.0,Go,11.17
opencv/opencv,opencv,2754,8627,75.8,13048,66,1.0,C++,13.08
gohugoio/hugo,hugo,465,7355,94.05,2950,337,0.0,Go,12.12
gothinkster/realworld,realworld,48,503,91.29,433,0,0.0,TypeScript,9.47
mermaid-js/mermaid,mermaid,1419,2096,59.63,2426,157,0.0,TypeScript,10.79
animate-css/animate.css,animate.css,63,841,93.03,314,22,13.0,CSS,13.85
laravel/laravel,laravel,31,0,0.0,1607,197,1.0,Blade,14.19
macrozheng/mall,mall,16,487,96.82,1,3,5.0,Java,7.37
home-assistant/core,core,2909,60000,95.38,75633,1490,0.0,Python,11.92
tonsky/FiraCode,FiraCode,416,954,69.64,136,29,0.0,Clojure,10.77
DigitalPlatDev/FreeDomain,FreeDomain,13,0,0.0,0,0,0.0,HTML,1.22
oven-sh/bun,bun,5183,8277,61.49,5944,196,0.0,Zig,4.34
3b1b/manim,manim,464,761,62.12,636,13,2.0,Python,10.41
spring-projects/spring-boot,spring-boot,614,38624,98.44,42,317,1.0,Java,12.83
doocs/advanced-java,advanced-java,1,146,99.32,84,1,12.0,Java,6.86
bregman-arie/devops-exercises,devops-exercises,38,64,62.75,301,0,3.0,Python,5.87
tensorflow/models,models,1259,6235,83.2,2338,50,5.0,Python,9.53
x1xhlol/system-prompts-and-models-of-ai-tools,system-prompts-and-models-of-ai-tools,73,52,41.6,22,0,0.0,,0.45
MunGell/awesome-for-beginners,awesome-for-beginners,37,174,82.46,446,0,0.0,,9.82
microsoft/ML-For-Beginners,ML-For-Beginners,12,140,92.11,374,0,0.0,HTML,4.46
DopplerHQ/awesome-interview-questions,awesome-interview-questions,49,34,40.96,175,0,0.0,,9.72
nomic-ai/gpt4all,gpt4all,729,1487,67.1,934,38,0.0,C++,2.39
MisterBooo/LeetCodeAnimation,LeetCodeAnimation,22,42,65.62,62,0,5.0,Java,6.7
microsoft/playwright,playwright,844,15458,94.82,15037,150,0.0,TypeScript,5.75
FortAwesome/Font-Awesome,Font-Awesome,3875,15889,80.39,210,60,0.0,JavaScript,13.5
netdata/netdata,netdata,235,7943,97.13,10893,120,0.0,C,12.17
fighting41love/funNLP,funNLP,41,47,53.41,14,0,0.0,Python,6.99
ByteByteGoHq/system-design-101,system-design-101,50,17,25.37,23,0,0.0,,1.91
anuraghazra/github-readme-stats,github-readme-stats,432,1108,71.95,1298,0,2.0,JavaScript,5.11
syncthing/syncthing,syncthing,343,5361,93.99,2747,439,0.0,Go,11.72
typicode/json-server,json-server,719,549,43.3,121,38,0.0,JavaScript,11.72
vitejs/vite,vite,630,7608,92.35,5552,597,0.0,TypeScript,5.32
unionlabs/union,union,283,1590,84.89,2744,95,0.0,Rust,2.25
ruanyf/weekly,weekly,5990,1074,15.2,101,0,2.0,,6.84
elastic/elasticsearch,elasticsearch,5366,36231,87.1,80328,202,2.0,Java,15.52
hoppscotch/hoppscotch,hoppscotch,544,1552,74.05,1860,83,1.0,TypeScript,5.99
coder/code-server,code-server,134,3569,96.38,1576,200,0.0,TypeScript,6.47
louislam/uptime-kuma,uptime-kuma,801,3449,81.15,1315,111,0.0,JavaScript,4.12
vuejs/awesome-vue,awesome-vue,65,190,74.51,3557,0,1.0,,9.83
immich-app/immich,immich,669,5672,89.45,7106,259,0.0,TypeScript,3.53
junegunn/fzf,fzf,298,2779,90.32,592,70,1.0,Go,11.82
sdmg15/Best-websites-a-programmer-should-visit,Best-websites-a-programmer-should-visit,921,103,10.06,419,0,0.0,,8.45
hacksider/Deep-Live-Cam,Deep-Live-Cam,82,914,91.77,85,8,0.0,Python,1.9
nestjs/nest,nest,70,5641,98.77,7396,131,1.0,TypeScript,8.53
microsoft/markitdown,markitdown,352,69,16.39,147,14,0.0,Python,0.76
d2l-ai/d2l-zh,d2l-zh,113,0,0.0,1018,16,0.0,Python,7.98
CompVis/stable-diffusion,stable-diffusion,607,195,24.31,5,0,9.0,Jupyter Notebook,3.02
abi/screenshot-to-code,screenshot-to-code,126,277,68.73,49,0,1.0,Python,1.76
thedaviddias/Front-End-Checklist,Front-End-Checklist,2,147,98.66,179,1,0.0,,7.84
clash-verge-rev/clash-verge-rev,clash-verge-rev,104,3652,97.23,313,49,0.0,TypeScript,1.74
redis/redis,redis,2649,4627,63.59,4152,95,1.0,C,16.41
moby/moby,moby,3656,19925,84.5,21362,237,4.0,Go,12.58
pallets/flask,flask,16,2685,99.41,1595,36,0.0,Python,15.36
google-gemini/gemini-cli,gemini-cli,1856,1826,49.59,1818,43,0.0,TypeScript,0.33
ventoy/Ventoy,Ventoy,1013,1600,61.23,269,103,0.0,C,5.44
Developer-Y/cs-video-courses,cs-video-courses,2,0,0.0,234,0,3.0,,8.82
grafana/grafana,grafana,3787,37411,90.81,56597,550,0.0,TypeScript,11.68
enaqx/awesome-react,awesome-react,38,109,74.15,777,0,0.0,,11.03
hakimel/reveal.js,reveal.js,859,1690,66.3,406,49,0.0,JavaScript,14.2
josephmisiti/awesome-machine-learning,awesome-machine-learning,2,93,97.89,866,0,0.0,Python,11.09
swisskyrepo/PayloadsAllTheThings,PayloadsAllTheThings,13,0,0.0,541,5,0.0,Python,8.83
binary-husky/gpt_academic,gpt_academic,286,1478,83.79,221,32,6.0,Python,2.41
strapi/strapi,strapi,1152,10176,89.83,9113,477,1.0,TypeScript,9.88
swiftlang/swift,swift,8465,9417,52.66,55370,60,1.0,C++,9.82
tesseract-ocr/tesseract,tesseract,449,2303,83.68,1410,34,1.0,C++,11.01
protocolbuffers/protobuf,protobuf,485,6406,92.96,7707,195,9.0,C++,10.98
base/node,node,62,190,75.4,186,54,25.0,Go,2.54
python/cpython,cpython,9293,66063,87.67,52699,0,0.0,Python,8.51
sherlock-project/sherlock,sherlock,239,970,80.23,641,1,0.0,Python,6.65
browser-use/browser-use,browser-use,601,549,47.74,958,72,0.0,Python,0.79
ocornut/imgui,imgui,1182,5519,82.36,398,114,0.0,C++,11.07
apache/superset,superset,798,11148,93.32,14795,231,2.0,TypeScript,10.08
expressjs/express,express,195,3885,95.22,458,160,0.0,JavaScript,16.14
openai/openai-cookbook,openai-cookbook,79,555,87.54,858,0,1.0,Jupyter Notebook,3.44
Alvin9999/new-pac,new-pac,433,1333,75.48,0,0,0.0,Python,9.4
PKUFlyingPig/cs-self-learning,cs-self-learning,125,104,45.41,294,5,2.0,HTML,3.82
chartjs/Chart.js,Chart.js,485,6804,93.35,3002,116,10.0,JavaScript,12.42
punkpeye/awesome-mcp-servers,awesome-mcp-servers,80,73,47.71,918,0,0.0,,0.71
obsproject/obs-studio,obs-studio,1011,3925,79.52,5187,223,0.0,C,11.88
caddyserver/caddy,caddy,223,4141,94.89,2108,128,3.0,Go,10.59
localsend/localsend,localsend,795,644,44.75,667,24,0.0,Dart,2.67
ansible/ansible,ansible,853,32466,97.44,39107,161,0.0,Python,13.45
fffaraz/awesome-cpp,awesome-cpp,419,237,36.13,790,0,0.0,,11.09
Eugeny/tabby,tabby,2355,3412,59.16,1487,199,0.0,TypeScript,8.65
leonardomso/33-js-concepts,33-js-concepts,83,81,49.39,249,0,8.0,JavaScript,6.95
webpack/webpack,webpack,228,9969,97.76,5096,437,1.0,JavaScript,13.44
nektos/act,act,252,1061,80.81,1045,88,2.0,Go,6.62
astral-sh/uv,uv,2093,5413,72.12,7151,207,0.0,Rust,1.88
danielmiessler/SecLists,SecLists,6,290,97.97,679,28,0.0,PHP,13.49
xtekky/gpt4free,gpt4free,7,1851,99.62,812,329,2.0,Python,2.39
AppFlowy-IO/AppFlowy,AppFlowy,1005,2641,72.44,3882,111,0.0,Dart,4.17
lydiahallie/javascript-questions,javascript-questions,44,233,84.12,327,0,0.0,,6.18
modelcontextprotocol/servers,servers,227,449,66.42,861,19,0.0,TypeScript,0.74
binhnguyennus/awesome-scalability,awesome-scalability,15,0,0.0,36,0,0.0,,7.64
lobehub/lobe-chat,lobe-chat,960,3432,78.14,2490,1954,1.0,TypeScript,2.24
Stirling-Tools/Stirling-PDF,Stirling-PDF,356,1077,75.16,2196,135,0.0,Java,2.55
apache/echarts,echarts,1980,17215,89.68,1444,122,2.0,TypeScript,12.37
kdn251/interviews,interviews,115,24,17.27,41,0,5.0,Java,8.5
rasbt/LLMs-from-scratch,LLMs-from-scratch,5,165,97.06,384,0,0.0,Jupyter Notebook,2.07
awesomedata/awesome-public-datasets,awesome-public-datasets,128,48,27.27,186,1,0.0,,10.74
zed-industries/zed,zed,2781,11379,80.36,16175,960,0.0,Rust,4.49
kelseyhightower/nocode,nocode,4610,716,13.44,1,1,0.0,Dockerfile,7.52
jesseduffield/lazygit,lazygit,771,1591,67.36,1675,169,0.0,Go,7.25
twitter/the-algorithm,the-algorithm,464,729,61.11,2,0,0.0,Scala,2.39
keras-team/keras,keras,298,12292,97.63,4224,80,0.0,Python,10.39
juliangarnier/anime,anime,76,718,90.43,76,22,3.0,JavaScript,9.43
scikit-learn/scikit-learn,scikit-learn,2162,10066,82.32,13403,47,3.0,Python,15.0
bradtraversy/design-resources-for-developers,design-resources-for-developers,2,104,98.11,943,0,1.0,,5.28
TheAlgorithms/Java,Java,10,1100,99.1,2003,0,0.0,Java,9.09
resume/resume.github.com,resume.github.com,67,66,49.62,84,0,0.0,JavaScript,14.53
labmlai/annotated_deep_learning_paper_implementations,annotated_deep_learning_paper_implementations,26,113,81.29,101,0,1.0,Python,4.98
infiniflow/ragflow,ragflow,2643,2280,46.31,3679,29,0.0,TypeScript,1.68
chrislgarry/Apollo-11,Apollo-11,123,326,72.61,342,0,1.0,Assembly,11.37
socketio/socket.io,socket.io,210,3421,94.22,432,75,7.0,TypeScript,15.44
sindresorhus/awesome-nodejs,awesome-nodejs,19,102,84.3,415,0,2.0,,11.1
prakhar1989/awesome-courses,awesome-courses,56,39,41.05,187,0,3.0,,10.75
All-Hands-AI/OpenHands,OpenHands,465,2924,86.28,5065,75,0.0,Python,1.43
FuelLabs/sway,sway,881,2448,73.54,3494,178,14.0,Rust,4.57
facebook/docusaurus,docusaurus,348,3025,89.68,5478,151,0.0,TypeScript,8.16
reduxjs/redux,redux,43,2024,97.92,1702,78,14.0,TypeScript,10.22
lodash/lodash,lodash,119,4228,97.26,579,2,1.0,JavaScript,13.36
dair-ai/Prompt-Engineering-Guide,Prompt-Engineering-Guide,222,71,24.23,338,0,3.0,MDX,2.67
atom/atom,atom,993,16146,94.21,3924,538,0.0,JavaScript,13.57
h5bp/Front-end-Developer-Interview-Questions,Front-end-Developer-Interview-Questions,38,143,79.01,481,0,0.0,Nunjucks,13.52
xingshaocheng/architect-awesome,architect-awesome,66,22,25.0,47,0,0.0,,7.36
openinterpreter/open-interpreter,open-interpreter,275,797,74.35,369,48,0.0,Python,2.09
localstack/localstack,localstack,293,5755,95.16,6204,94,1.0,Python,8.81
adam-p/markdown-here,markdown-here,320,324,50.31,27,17,0.0,JavaScript,13.26
alacritty/alacritty,alacritty,331,5799,94.6,1882,101,0.0,Rust,9.49
prometheus/prometheus,prometheus,724,5639,88.62,7605,341,0.0,Go,12.73
mlabonne/llm-course,llm-course,64,30,31.91,1,0,1.0,,2.17
rust-lang/rustlings,rustlings,80,686,89.56,911,45,1.0,Rust,9.92
jquery/jquery,jquery,96,2285,95.97,810,11,4.0,JavaScript,16.37
NationalSecurityAgency/ghidra,ghidra,1756,4058,69.8,520,45,0.0,Java,6.46
ryanoasis/nerd-fonts,nerd-fonts,35,1062,96.81,550,38,1.0,CSS,10.7
shadowsocks/shadowsocks-windows,shadowsocks-windows,196,2727,93.29,260,55,2.0,C#,12.59
tldr-pages/tldr,tldr,202,1337,86.87,14587,6,1.0,Markdown,11.69
angular/angular.js,angular.js,463,8649,94.92,789,0,0.0,JavaScript,15.61
Shubhamsaboo/awesome-llm-apps,awesome-llm-apps,11,85,88.54,131,0,0.0,Python,1.3
spring-projects/spring-framework,spring-framework,305,26807,98.88,870,341,1.0,Java,14.69
meta-llama/llama,llama,497,652,56.74,53,0,0.0,Python,2.51
scrapy/scrapy,scrapy,681,2712,79.93,2382,43,0.0,Python,15.48
nuxt/nuxt,nuxt,865,15864,94.83,6874,256,1.0,TypeScript,8.81
FoundationAgents/MetaGPT,MetaGPT,61,853,93.33,660,22,0.0,Python,2.13
youngyangyang04/leetcode-master,leetcode-master,232,66,22.15,2305,0,1.0,Shell,5.68
gorhill/uBlock,uBlock,18,3431,99.48,229,277,0.0,JavaScript,10.38
FuelLabs/fuel-core,fuel-core,163,970,85.61,1553,123,3.0,Rust,4.97
rails/rails,rails,1293,17712,93.2,25083,149,0.0,Ruby,17.35
h5bp/html5-boilerplate,html5-boilerplate,19,1346,98.61,786,34,0.0,JavaScript,15.56
Solido/awesome-flutter,awesome-flutter,30,0,0.0,441,0,3.0,Dart,8.28
nocodb/nocodb,nocodb,698,3604,83.77,5257,173,2.0,TypeScript,7.8
zylon-ai/private-gpt,private-gpt,277,961,77.63,224,10,1.0,Python,2.29
scutan90/DeepLearning-500-questions,DeepLearning-500-questions,121,81,40.1,302,0,3.0,JavaScript,7.14
soimort/you-get,you-get,383,0,0.0,582,123,0.0,Python,12.99
jgraph/drawio-desktop,drawio-desktop,63,1570,96.14,20,159,0.0,JavaScript,8.23
